"filename","band","tag","stage","first_set"
"logos/band_dan_wilkins_piano_trio.png","Dan Wilkins Piano Trio","other","Jazz Cabaret","2026-08-03 5:30 PM"
"logos/band_a_storybook_party.png","A Storybook Party","other","Familienplatz","2026-08-03 5:30 PM"
"logos/band_erinys_quartet.png","Erinys Quartet","other","Vesper Series","2026-08-03 5:30 PM"
"logos/band_leighann_and_company_duo.png","Leighann & Company Duo","other","Hotel Bethlehem","2026-08-03 5:30 PM"
"logos/band_planet_infamy.png","Planet Infamy","other","Plaza Tropical","2026-08-03 5:30 PM"
"logos/band_poppycock_babble.png","Poppycock Babble","other","Stadtplatz","2026-08-03 6:00 PM"
"logos/band_hannah_noel.png","Hannah Noel","other","Lagerplatz","2026-08-03 6:00 PM"
"logos/band_emily_drinker.png","Emily Drinker","other","Americaplatz","2026-08-03 6:00 PM"
"logos/band_american_vanity.png","American Vanity","other","Festplatz","2026-08-03 6:00 PM"
"logos/band_train.png","TRAIN","other","Steel Stage","2026-08-03 6:00 PM"
"logos/band_billy_bauer_and_chris_lorenzetti_of_billy_bauer_band.png","Billy Bauer & Chris Lorenzetti (of Billy Bauer Band)","other","Main Street","2026-08-03 6:30 PM"
"logos/band_dave_fry.png","Dave Fry","other","Liederplatz","2026-08-03 7:00 PM"
"logos/band_cass_noelle.png","Cass Noelle","other","Lyrikplatz","2026-08-03 7:00 PM"
"logos/band_meet_the_mayor.png","Meet the Mayor","other","Plaza Tropical","2026-08-03 7:30 PM"
"logos/band_matt_freedman_and_the_herd.png","Matt Freedman & The Herd","other","Stadtplatz","2026-08-03 7:30 PM"
"logos/band_last_thursday_band.png","Last Thursday Band","other","Jazz Cabaret","2026-08-03 8:00 PM"
"logos/band_luca_diadul.png","Luca Diadul","other","Lyrikplatz","2026-08-03 8:00 PM"
"logos/band_drew_kiddoo_and_the_blackouts.png","Drew Kiddoo and The Blackouts","other","Main Street","2026-08-03 8:30 PM"
"logos/band_project_22_band.png","Project 22 Band","other","Liederplatz","2026-08-03 9:00 PM"
"logos/band_the_amish_outlaws.png","The Amish Outlaws","other","Festplatz","2026-08-03 9:00 PM"
"logos/band_we_may_be_right_billy_joel_tribute.png","We May Be Right: BIlly Joel Tribute","other","Zinzenplatz","2026-08-03 9:00 PM"
"logos/band_rubix_kube_the_galaxy_s_most_original_80s_tribute_band.png","Rubix Kube The Galaxy's Most Original '80s Tribute Band","other","Americaplatz","2026-08-03 9:30 PM"
"logos/band_sun_bus.png","Sun Bus","other","Plaza Tropical","2026-08-03 9:30 PM"
"logos/band_shakedown_citi.png","Shakedown Citi","Dead/jam","Stadtplatz","2026-08-03 9:30 PM"
"logos/band_totally_taboo.png","Totally Taboo","other","Community Stage","2026-08-03 11:00 PM"
"logos/band_jenny_founds.png","Jenny Founds","other","Main Street","2026-08-04 12:00 PM"
"logos/band_dave_betz_band.png","Dave Betz Band","other","Festplatz","2026-08-04 12:00 PM"
"logos/band_attention_switch.png","Attention Switch","other","Plaza Tropical","2026-08-04 12:00 PM"
"logos/band_ashlyn_leary.png","Ashlyn Leary","other","Lagerplatz","2026-08-04 1:00 PM"
"logos/band_after_august.png","After August","other","Plaza Tropical","2026-08-04 1:00 PM"
"logos/band_zach_russack.png","Zach Russack","other","Main Street","2026-08-04 1:30 PM"
"logos/band_joe_grisanzio.png","Joe Grisanzio","other","Plaza Tropical","2026-08-04 2:00 PM"
"logos/band_gina_royale.png","Gina Royale","other","Plaza Tropical","2026-08-04 3:00 PM"
"logos/band_erin_kelly.png","Erin Kelly","other","Main Street","2026-08-04 3:00 PM"
